,Twitter Query: #inditexcareers OR #morethanajob OR #pullandbearcommunity OR #Stradilooks -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
01/02/2020 11:39,@mafeza8,Marisa Ferrando,"🖤Feli sábado 🖤 #stradilooks @stradivarius zara #look #lookoftheday #sabado en Buñol, Spain",1223556560363892736,https://www.instagram.com/p/B8BW9VeIjj4/?igshid=1h9o25xb7s1oe,,Map,0,0,Instagram,537,488,18,,22/12/2010,"Buñol, Valencia",#Lifestyle #mum #kids blog ⭐️Fb: /lovethisweb ⭐️IG:@mafeza ⭐️YouTube: mafeza8 📩info@lovethis.es http://www.laestrelladegael.com #Buñol📍#Valencia 📍#Ibiza,http://www.lovethis.es,,View
31/01/2020 20:30,@GuildfordColleg,Guildford College,Interested in becoming an apprentice? Find out more about apprenticeships available in Guildford College here:  #NAW2020 #morethanajob #blazeatrail #fireitup,1223327590221406209,http://bit.ly/2ObXAOE,,,0,0,TweetDeck,3893,314,92,,05/03/2009,"Guildford, Surrey, GU1 1EZ, UK",Follow us to keep up to date with the latest tweets from one of the largest Colleges of Further and Higher Education in the South East. Tweets by Marketing.,http://www.guildford.ac.uk,,View
31/01/2020 20:30,@MerristWood,Merrist Wood College,Interested in becoming an apprentice? Find out more about apprenticeships available in Merrist Wood College here:  #NAW2020 #morethanajob #blazeatrail #fireitup,1223327590020087809,http://bit.ly/2ObXAOE,,,0,0,TweetDeck,1508,193,27,,10/03/2009,"Worplesdon,Surrey,GU3 3PE,UK",Follow to keep up to date with the latest tweets from an award winning 400 acre college providing unrivalled education in land-based sectors.,http://www.merristwood.ac.uk,,View
31/01/2020 20:24,@HomeChatMissy,Melissa Lawwill,"Thank you, Wayne Hensley, for introducing and recommending me to Denise. It was my pleasure to help you all through this difficult time. ❤️❤️❤️ #getmovingwithmissy #itsaCBthing #morethanajob",1223326193216315392,https://www.instagram.com/p/B7_uNJCgHo2/?igshid=11oms7gdml9dw,,,0,1,Instagram,354,703,12,,05/06/2015,"Cincinnati, OH",A forum to let you pick the brain of a seasoned professional! For years I've been chatting with anyone curious about what I do. So let's get to it! CBHeritage,http://comey.mobi/missylawwill,,View
31/01/2020 18:30,@MerristWood,Merrist Wood College,It’s only 3 days till #NAW2020 begins! We’re very excited to see the best of apprentices celebrated. We have plenty in store for you throughout the week. #NAW2020 #morethanajob #blazeatrail #fireitup,1223297392788697089,,,,0,0,TweetDeck,1508,193,27,,10/03/2009,"Worplesdon,Surrey,GU3 3PE,UK",Follow to keep up to date with the latest tweets from an award winning 400 acre college providing unrivalled education in land-based sectors.,http://www.merristwood.ac.uk,,View
31/01/2020 18:25,@GuildfordColleg,Guildford College,It’s only 3 days till #NAW2020 begins! We’re very excited to see the best of apprentices celebrated. We have plenty in store for you throughout the week. #NAW2020 #morethanajob #blazeatrail #fireitup,1223296131968294912,,,,0,0,TweetDeck,3893,314,92,,05/03/2009,"Guildford, Surrey, GU1 1EZ, UK",Follow us to keep up to date with the latest tweets from one of the largest Colleges of Further and Higher Education in the South East. Tweets by Marketing.,http://www.guildford.ac.uk,,View
31/01/2020 13:53,@RedCrossJobsUK,Red Cross Jobs,Thank you to our amazing staff and volunteers who make a real difference every day to the lives of people in crisis #MoreThanAJob #FridayFeeling,1223227680813985792,,https://pbs.twimg.com/media/EKivWsEWkAEMOQa.jpg,,2,6,Twitter for Advertisers,1862,884,20,,07/10/2010,UK,Official account of @britishredcross recruitment team. View our current vacancies: http://bit.ly/BRCJobs Monitored during UK office hours only,http://www.redcross.org.uk/en/About-us/Jobs,,View
31/01/2020 03:07,@NationalMagLab,National MagLab,"Have a high school diploma or a technical or vocational degree in plumbing, electrical work, HVAC? Have experience working with/repairing mechanical equipment & piping systems? Apply to join our team -  #MoreThanAJob #TeamTesla",1223065116150837249,http://bit.ly/37Jtgmj,https://pbs.twimg.com/media/EPkzPdaWsAEljPc.png,,1,0,Buffer,2667,417,135,,28/10/2009,"Tallahassee, LANL, Gainesville","The only facility of its kind in the US, the National High Magnetic Field Lab is the highest-powered magnet lab in the world. #NSFFunded #FloridaFunded",https://nationalmaglab.org/,,View
30/01/2020 16:40,@theancientdj,Ancient Dj,"Mentally I'm already on next year, that's some 20/20 clear vision #pullandbearcommunity #spotify #newyork #zimbabwe #applemusic #newwavemusic #afrobeats #afrohousemusic #afrohouse #londonhousemusic #southafrica…",1222907529900019713,https://www.instagram.com/p/B78v0WwJV9m/?igshid=1iy351adw88br,,,0,1,Instagram,55,557,0,,21/09/2016,Cape Town/ Johannesburg,•DJ/ Producer •OneFM 94.0 RADIO Dj •News Cafe resident Dj •Brand ambassador: Alphar De Hughor •Tour Dj for Trusted SLK,https://m.soundcloud.com/the-ancient-dj/ancient-dj-its-not-that-deep-vol1,,View
30/01/2020 01:30,@PantexPlant,Pantex Plant,"Have experience working with VMWare Horizon, Citrix, or Microsoft Product Suite? Apply today to join our team as a Desktop Engineer:  #MoreThanAJob #ApplyToday #PantexPride",1222678373173993473,http://ow.ly/ntMn50y8seR,https://pbs.twimg.com/media/EPfTgERX0AAaUsx.png,,3,5,Hootsuite Inc.,2311,293,53,✅,30/12/2009,"Amarillo, Texas","Official Twitter account for the Pantex Plant, an @energy and @nnsanews facility managed and operated by Consolidated Nuclear Security.",http://pantex.energy.gov,,View
29/01/2020 23:36,@HistoryTeacherG,Chris Guardiola,The 6A team ⁦@BuffettMagnet⁩ LOVE public schools. ⁦@NElovesPS⁩ #MoreThanAJob ⁦@OmahaPubSchool⁩,1222649808025944064,,https://pbs.twimg.com/media/EPe5gOaWsAEhn7m.jpg,,0,28,Twitter for iPhone,255,156,7,,08/08/2013,,"mother, wife, educator, reader, learner",,,View
29/01/2020 20:00,@Sooz_Star,Susana Martín,Los días de sol combinan muy bien con mi nuevo brazalete de fathombracelets usa el código VBSDEX para disfrutar de un 10% descuento 😄 #fathombracelets #fathom #bracelets #pulsera #sunnyday #stradilooks #palmademallorca,1222595351976325120,https://www.instagram.com/p/B76h2a0IceO/?igshid=f73318jidwa0,,,0,0,Instagram,175,526,8,,18/02/2011,Marratxí (Baleares),FASHION BLOGGER ● #moda #fashion #lifestyle ●📸 IG: SOOZ_STAR 💻Face: SoozStar ●COLLAB: sooz_05@hotmail.com,http://www.instagram.com/sooz_star,,View
29/01/2020 11:30,@Miramar_CC,Miramar CComercial,La nueva colección de LUNARES de @stradivarius os va a ENCANTAR. ¡Avisad@s estáis! #moda #trends #stradilooks,1222467006739492864,,https://pbs.twimg.com/media/EPcTQ5TW4AA8cRN.jpg,,0,0,Hootsuite Inc.,8552,8142,131,,01/12/2009,"Fuengirola, Málaga, Spain","Centro Comercial Miramar en Fuengirola y Parque Comercial Miramar Mijas te ofrecen más de 140 tiendas, cine, hipermercado Carrefour y los mejores servicios.",http://www.miramarcc.com,,View
29/01/2020 07:32,@TeamTrinhIns,Trang Trinh State Farm Insurance Agent,"Had a great time with all of our friends at our Small Business Social today. Meaningful discussions regarding referrals, estate planning, flooring, restoration, photography, real estate, eyelashes and just plain old taking care of business 🤓 🙋🏻‍♀️ #TeamTrinh #MoreThanAJob #Life",1222407227916505089,,https://pbs.twimg.com/media/EPbc5CyUcAENjs0.jpg,,0,3,Twitter for iPhone,110,217,3,,26/10/2017,"Torrance, CA",Everyday we seek to improve lives of our Customers & Team Members | Life | Auto | Home | Renters | #Business #Insurance #California #TeamTrinh 310-974-8778,http://www.teamtrinhinsurance.com,,View
28/01/2020 19:03,@AmandaSMuncie,Amanda S. Muncie,Being appreciated goes a long way! 😊 #morethanajob #thanksabunch #bekind @EastParkGlasgow @LCinScotland #actuallyican,1222218653803974658,,https://pbs.twimg.com/media/EPYxYWyX4AAeip6.jpg,,0,5,Twitter for Android,139,1205,0,,31/01/2011,"South Lanarkshire, Scotland",What I tweet is my own opinion. Any questions just ask.,,,View
28/01/2020 16:35,@ChildrensOpEx,Akron Children's Center for Operational Excellence,"Last week, a few from our team joined @MLG_ACH and members of his team for a retreat @ACRFoodbank. We led the group through an exercise to prioritize areas of focus for the year, and are excited to continue partnering with this amazing group of leaders! #MoreThanAJob",1222181293049438209,,https://pbs.twimg.com/media/EPYPZ44WAAMiZTL.jpg,,1,11,Twitter Web App,231,133,1,,23/02/2018,,"Process Improvement Through People Development, Operational Excellence, Align to Hospital Goals, Improve Processes, Enable your teams. Follow @AkronChildrens",http://akronchildrens.org/OpEx,,View
28/01/2020 03:58,@lyallbaynz,Lyall Bay (Maraenui),"To the @FlyAirNZ teams in AKL, YVR and the big PMR and our Australian family thank you for a lovely couple of weeks of #airlinelife #morethanajob",1221990897354563584,,,,0,0,Twitter for Android,5334,4021,123,,25/05/2007,"Lyall Bay, New Zealand",This is our home #togetherstronger .. We are listening 24/7 - .Account only updates when needed. Local news - news@thebay.nz or social@thebay.nz,,,View
28/01/2020 02:56,@y12nsc,Y-12 NSC,Proud to be part of this mission. #MoreThanAJob #MyY12 RT @NNSANews: 2019 was a great year for #NNSA. Watch this #video to get an idea of just how much we accomplished!,1221975255964618752,https://twitter.com/NNSANews/status/1221806315153944579,pic.twitter.com/E2R6HNtetw,,1,3,Twitter Web App,3753,298,104,✅,05/08/2009,"Oak Ridge, Tennessee","The official Twitter account of the Y‑12 National Security Complex. Y-12 maintains the safety, security and effectiveness of the U.S. nuclear weapons stockpile.",https://www.y12.doe.gov,,View
28/01/2020 02:06,@LndsayW,Lindsay Weisenauer,Great opportunity to work with the growing team of professionals at @NWRECC. They are the best at what they do. #morethanajob RT @DublinOhio: Trying to shake a case of the Mondays? Maybe it's time for a change. Learn more about being a Communications Technician (emergency dispatcher). Help save lives. Make a difference. Answer the call. Learn more and apply -  #morethanajob #nowhiring,1221962771732058115,"https://twitter.com/dublinohio/status/1221962360149237760
https://bit.ly/38ww4mM",https://pbs.twimg.com/media/EPVISnqX0AEpG5U.jpg,,1,5,Twitter for iPhone,1598,1424,57,,12/06/2009,"Dublin, OH",Public Affairs Officer for the City of Dublin (my views on Twitter are my own.) Proud @OhioU alum. Lifelong Cleveland sports and Ohio State fan. Nice person.,http://dublinohiousa.gov/,,View
28/01/2020 02:05,@DublinOhio,Dublin Ohio,Trying to shake a case of the Mondays? Maybe it's time for a change. Learn more about being a Communications Technician (emergency dispatcher). Help save lives. Make a difference. Answer the call. Learn more and apply -  #morethanajob #nowhiring,1221962360149237760,https://bit.ly/38ww4mM,https://pbs.twimg.com/media/EPVISnqX0AEpG5U.jpg,,2,3,Hootsuite Inc.,16010,237,265,✅,28/01/2008,"Dublin, Ohio, USA","The City of Dublin, Ohio, USA supports a livable, sustainable and safe community by emphasizing public safety, innovative programs and extraordinary amenities.",http://www.dublinohiousa.gov,,View
28/01/2020 02:00,@DeltaCoMemHos,Delta County Memorial Hospital,DCMH is currently hiring for a Clinical Dietitian to provide clinical nutrition services to patients throughout DCMH. To apply please complete our online application at:  or contact our Human Resources Department at 970.874.6423 #MoreThanAJob,1221961155532460037,http://bit.ly/DCMHCareers,https://pbs.twimg.com/media/EPVHMSjWkAAniKh.png,,0,0,Hootsuite Inc.,56,144,3,,12/12/2017,"Delta, CO","We are a nonprofit hospital whose goal is to be the people's 1st choice for accessible, high quality health services & enhance the well-being of the community.",http://www.deltahospital.org/,,View
27/01/2020 18:02,@inditexcareers,Inditex Careers,"It's not the same visiting one of our stores as a client as it is to be part of the team. Before their first day of work, our new people get to live a virtual reality experience in the VR Corner of some of our Talent Centres. #inditexcareers #morethanajob",1221840829926518786,,pic.twitter.com/aRENYPAbyf,,7,13,Twitter Web App,27909,139,223,✅,09/11/2012,,"Welcome to the official job search site for the Inditex Group: Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, Zara Home and Uterqüe.",http://www.inditexcareers.com,,View
27/01/2020 13:38,@RedCrossJobsUK,Red Cross Jobs,"As a staff member of the @BritishRedCross you'll not only work alongside an amazing group of colleagues but have the opportunity to meet our supporters too, without whom none of this would be possible #MoreThanAJob #MondayMotivation",1221774354389913600,,https://pbs.twimg.com/media/EN61U7eWsAALZsH.png,,0,0,Twitter for Advertisers,1862,884,20,,07/10/2010,UK,Official account of @britishredcross recruitment team. View our current vacancies: http://bit.ly/BRCJobs Monitored during UK office hours only,http://www.redcross.org.uk/en/About-us/Jobs,,View
27/01/2020 03:14,@y12nsc,Y-12 NSC,"If you have cyber threat intelligence and incident response experience, we're looking for you. Land #MoreThanAJob developing countermeasures to detect and prevent intrusions and malware infestation.",1221617418256232450,http://bit.ly/36xVtuN,https://pbs.twimg.com/media/EPQOkMUWsAAvlfx.png,,3,3,Twitter Web App,3753,298,104,✅,05/08/2009,"Oak Ridge, Tennessee","The official Twitter account of the Y‑12 National Security Complex. Y-12 maintains the safety, security and effectiveness of the U.S. nuclear weapons stockpile.",https://www.y12.doe.gov,,View
26/01/2020 17:11,@Lea_slq,L.,Balade dominicale à Confluence ✨ . . . . . #igerslyon #lesfillesdelyon #stradivarius #stradilooks #fashionblogger #discoverunder3k #onlylyon #lyonnaise #onlygoodvibes #frenchvibes #blogueusemode #lestyleàlafrançaise…,1221465705381580801,https://www.instagram.com/p/B7ygJNHC3XV/?igshid=ugqgkr1pye26,,,1,1,Instagram,203,178,4,,19/11/2012,"Lyon, France",23. Étudiante en ostéopathie. From french Guiana.,https://www.instagram.com/lea_slq/,,View
26/01/2020 13:33,@tiziana_pansini,Tiziana Pansini,LOVE @stradivarius 🖤🤍🖤 Lady_Boleyn #stradilooks,1221410746610995201,,https://pbs.twimg.com/media/EPNSlHIXsAAY7mt.jpg,,0,4,Twitter for iPhone,1072,1522,17,,09/08/2017,,🕯FASHION BLACK... 𝔈𝔩𝔢𝔤𝔞𝔫𝔠𝔢 𝔦𝔰...𝔟𝔩𝔞𝔠𝔨 🌙LADY_BOLEYN_PHOTOGRAPHY 🕯Alternative Model 🕸🕷 𝔅𝔩𝔬𝔤𝔤𝔢𝔯 🔪,,,View
