,"Twitter Query: lang:en -filter:retweets -filter:replies @inditexcreers OR @Bershka, OR @bershka_japan, OR @Bershka_ES OR @leftiesofficial OR @massimodutti OR @oysho OR @pullandbear OR @stradivarius OR @uterqueOfficial OR @ZARA, OR @ZARA_Care OR @zarahome",,,,,,,,,,,,,,,,,,,
31/01/2020 20:05,@smbwebhost,Vik at SMBwebhost - Web Hosting for Small Business,"89% of marketers claim brand awareness is their top goal. Here are some strategies from @LatanaBrand that you can implement to increase brand awareness. FT. @claudiandfin, @jcpenney, @ZARA, @repmgmt_com, @socialinsiderio and more!  #brand",1223321322182402050,https://buff.ly/2RY82uk,https://pbs.twimg.com/media/EPocQm5X0AQVdIs.jpg,,0,1,Buffer,22,16,3,,17/04/2019,"Sheridan, WY",SMBwebhost is a premier #smb #webhosting solution that provides #smallbusiness with 99.99% Up-time and reliable #hosting and #business #email :D,https://www.smbwebhost.com,,View
31/01/2020 19:52,@holls_mai,hol,"Love when @Bershka say they have delivered your items that you desperately need for tomorrow, and then say they have a signature, proving their delivery, yet.... I still have no parcel!!! Fuming is an understatement! Never again",1223318276505264129,,,,0,0,Twitter for Android,725,1856,1,,08/04/2012,Tralee,21 ❤️,,,View
31/01/2020 19:49,@Phil_Gahan,Philip Gahan 🏳️‍🌈,#acid #attack outside at @ZARA #victoriastreet @BBCLondonNews @SkyNewsBreak @itvlondon,1223317439385042944,,,,0,0,Twitter for iPhone,1382,695,39,,04/11/2012,"London, England","Baby brother to Sue, Dave and Pete! (Yes Depeche Dave) originally from Basildon now living in London via IOW, UK. http://www.instagram.com/phil_gahan",https://www.youtube.com/user/PhilGahan,,View
31/01/2020 19:48,@iammoponz,iammoponz,This guy wore my @ZARA slippers 😩😩😩,1223317139471446028,,,,0,0,Twitter for iPhone,3,25,0,,26/12/2019,,Moponz,,,View
31/01/2020 18:05,@denetrabfit,Denetra Blackshear,I am loving this puffy jacket and cuddle weather 💚💚 Makeup: @juviasplace Jacket: @Forever21 Top: @ZARA Model:  #fashionista #blackgirlmagic #melaninpoppin,1223291098426007552,http://www.instagram.com/denetrabfit,https://pbs.twimg.com/media/EPoAxFtU0AA4T3U.jpg,,3,16,Twitter for Android,968,180,8,,01/05/2016,"California, USA",👸🏾IFBB Bikini Pro 📸Published Fitness Model 🦸🏽‍♀️Cosplayer 🏋🏾‍♀️Online Trainer 👇🏾Now Accepting Online Clients,http://bit.ly/denetrabfit,,View
31/01/2020 17:44,@darrinanderson_,The Topic of Conversations,If you support Carter comment @ZARA below ⬇️⬇️⬇️ RT @darrinanderson_: Carter’s Professional Headshots Photographer @tangerinephotos,1223285818346872832,https://twitter.com/darrinanderson_/status/1223041650987085825,https://pbs.twimg.com/media/EPkd5ZAX0AAkqTh.jpg,,10,82,Twitter for iPhone,11888,4127,29,,16/06/2010,504⚜️,Model | Husband | Influencer | Carter’s Dad,,,View
31/01/2020 17:41,@tastemycool,k•s,Just received my @ZARA delivery. I’ve never received anything packed so neatly in my life wow.,1223285288753123335,,,,0,0,Twitter for iPhone,598,412,18,,04/03/2009,"London, England",Auriferous!,http://thrurosecolouredglasses.tumblr.com,,View
31/01/2020 17:39,@K_Ent_WnTT,K.Entertainment~ ARMY,"Left Pic:  Right pic: @Bershka, Frankfurt am Main Zeil @BTS_twt @BT21_ @ger_unite_bts @BTS__Europe #BTS #BTSARMY #BT21",1223284795003805697,https://www.uniqlo.com/de/de/herren/mehr-entdecken/ut-kollektion-originelle-prints/bt-21,https://pbs.twimg.com/media/EPn7AA9W4AARvyp.jpg,,1,2,Twitter for Android,95,69,0,,01/08/2017,"Frankfurt, Deutschland ",2 Admins: @wajeeha2002 & @jeon_tt125,https://www.youtube.com/channel/UCtNCEejHw4N7HbM2Eu7x3fA,,View
31/01/2020 17:38,@PrithamSadashiv,Preetham S,"Spotted: @Vidya_Balan In @Zara Printed Midi Dress (₹1,890) for a Party - Styled By Pranay Jaitly & Shounak Amonkar. #OOTD #VidyaBalan #Zara",1223284423317250048,,https://pbs.twimg.com/media/EPn6rRZU0AUPj79.jpg,,1,9,Twitter for Android,2325,224,25,,22/04/2010,"Mangalore, India","95 Kid, Celebrity Fashion Blogger & Stylist",https://Instagram.com/PrithamSadashiv,,View
31/01/2020 17:17,@Beauty_Balm,Sandra,So impressed with these #perfumes @ZARA @JoMaloneCBE amazing value! I picked up two #VetiverPamplemousse & #FleurDePatchouli (£15.99 and £5.99) will def be back to try the rest!,1223279222820626433,,https://pbs.twimg.com/media/EPn1890WoAADFdb.jpg,,0,3,Twitter Web App,13856,3766,274,,10/07/2012,,Beauty and Lifestyle Blogger contact me: beautybalm1@virginmedia.com Beauty Shortlist Judge 2018/19/20,http://bbalm.blogspot.com,,View
31/01/2020 16:31,@rumorethanlooks,Jimmy Hackett,"89% of marketers claim brand awareness is their top goal. Here are some strategies from @LatanaBrand that you can implement to increase brand awareness. FT. @claudiandfin, @jcpenney, @ZARA, @repmgmt_com, @socialinsiderio and more!  #brand",1223267450885681154,https://buff.ly/2RY82uk,https://pbs.twimg.com/media/EPnrQ4bWsAAGWwm.jpg,,0,1,Buffer,8541,259,318,,16/06/2016,"Houston, TX","i help get your business leads, convert them into sales, and put you ahead of the rest with effective #contentstrategy and #marketing. 💡",http://www.yellowhyena.com,,View
31/01/2020 16:20,@IvannaNanachama,Ivanna Valerie.,"27 candles 🎂 What else can I ask for, if I already have it all? ~ 👗 @primark 🧥gap 👟@Bershka ~ ¿Empezamos el reto de @withloveandre #ElDiarioDe #IvannaValering? ~ 10 cosas que quieran saber de mi, GO! Pregunten abajo…",1223264917534408706,https://www.instagram.com/p/B7_SVqmFj-f/?igshid=18juqtqz8p5if,,,0,0,Instagram,361,609,1,,05/05/2009,Hyrule,"Del 93' El Amor es Bailar, papárapapá eu eo. Tengo un patreon con fotos chéveres @nanachama",http://patreon.com/nanachama,,View
31/01/2020 15:55,@amandaly5,amandaly5,"I've been faced a terrible situation on zara shop in Riyadh, KSA, 7 months ago without any care to solve it except that @ZARA_Care calm me with many promising but nothing happened till now, hopefully solve it on 2030 😏🤨",1223258614455992320,,,,0,0,Twitter for Android,44,593,1,,28/06/2011,,,,,View
31/01/2020 14:30,@mowluv,Momo,Madimeja at @ZARA #zaraMallofAfrica was rude then turned me away after calling his manager and they both didn’t help me!!!!! I’m livid!!!!,1223237109823221760,,,,0,1,Twitter for iPhone,253,205,0,,20/04/2009,"South Africa, JHB","Legacy vs Wealth.I want http://both.Business woman, Corporate Bird, play hard, work harder. Building an empire!",http://lizmoshoes.blogspot.com,,View
31/01/2020 14:10,@mowluv,Momo,Not at all impressed with @zara customer service right now #zaramallofAfrica. Check your DM and urgently deal with my complaint @ZARA_Care,1223232130832109570,,,,1,0,Twitter for iPhone,253,205,0,,20/04/2009,"South Africa, JHB","Legacy vs Wealth.I want http://both.Business woman, Corporate Bird, play hard, work harder. Building an empire!",http://lizmoshoes.blogspot.com,,View
31/01/2020 14:00,@phosguy,Mpho Moleme,"Thanks @Zara for swift delivery, much improvement from last year. 👏👏👌",1223229664770109440,,,,0,0,Twitter Web App,231,1639,2,,24/01/2013,South Africa,Negativity is a chronic disease!! Tse Ntsho!!☠️,,,View
31/01/2020 14:00,@charsouthgatee,Char,Worn these jeans a handful of times @ZARA #fastfashion but you will tell me that all your items are “quality checked” 😴,1223229542548090880,,https://pbs.twimg.com/media/EPnItkRWkAU6Y7z.jpg,,2,5,Twitter for iPhone,525,91,2,,21/02/2010,,instagram:charsouthgate snapchat:charsouthgate,,,View
31/01/2020 12:51,@thesunrisebloom,Deepika Malhotra,Beauty is when you appreciate yourself ❤️ 👟 Shoe @zara 👖Denim @zara 🥼 Blazer @hm . . . . . #whatiwore #whatiworetoday #whatiworetowork #whatimwearing #lookbook #lookbooks #styleinspo #styleblogger #styleinspiration #delhiblogger #delhibloggers #photooftheday #potd #potd📸,1223212080569827329,,https://pbs.twimg.com/media/EPm45nUU0AAyq7a.jpg,,1,4,Twitter for iPhone,3601,1591,6,,07/03/2017,"Gurgaon, India","Financial Consultant @ Aditya Birla Sun Life Insurance, Aditya Birla Financial Services, Aditya Birla Health Insurance",,,View
31/01/2020 12:48,@UserbilityCo,Userbility,"89% of marketers claim brand awareness is their top goal. Here are some strategies from @LatanaBrand that you can implement to increase brand awareness. FT. @claudiandfin, @jcpenney, @ZARA, @repmgmt_com, @socialinsiderio and more!  #brand",1223211332738211840,https://buff.ly/2RY82uk,https://pbs.twimg.com/media/EPm4OYxWkAAn-ht.jpg,,0,1,Buffer,50,383,0,,25/08/2019,Worldwide,Remote user testing as it should be - fast & affordable! Get started from £10 per tester 💻,https://userbility.co,,View
31/01/2020 12:43,@emerge_recruit,e-Merge Recruitment,"THIS IS HOW WE DO IT!!! Month end deals just flowing in like nobodies business. Congratulations to @Dudley Zengeza , @Nicole de Sousa, @Garth Zoutendyk, Dominic Maree, @Michelle Hiestermann and @Zara Harvey. You guys rock. Clearly the men were waiting for this day to show off",1223210206093594625,,pic.twitter.com/rz4lUbsXhT,,1,4,Hootsuite Inc.,175,107,11,,30/05/2016,"Johannesburg, South Africa",e-Merge IT Recruitment is a specialist niche agency working in specific technology verticals,http://www.e-merge.co.za,,View
31/01/2020 10:47,@logos_ai,logos.ai,"89% of marketers claim brand awareness is their top goal. Here are some strategies from @LatanaBrand that you can implement to increase brand awareness. FT. @claudiandfin, @jcpenney, @ZARA, @repmgmt_com, @socialinsiderio and more!  #brand",1223180882200219648,https://buff.ly/36I78rb,https://pbs.twimg.com/media/EPmch61WkAEfWfe.jpg,,0,1,Buffer,4306,3955,29,,10/08/2011,"London, England","Selected branding inspiration from around the world, rightfully credited to their respective owners. Submit your work using #logosai http://www.logos.ai",http://instagram.com/logos.ai,,View
31/01/2020 10:33,@iridescentplace,Iridescentplaces,New #blog post! My Monthly Favourites: January ft @ColourPopCo @TooFaced @MACcosmetics @ZARA & @NYXCosmetics_UK :  💕 #beautyblogger #beautyblog,1223177503545724929,http://bit.ly/2t8ndIS,https://pbs.twimg.com/media/EPmZc6BWAAEVwJw.jpg,,0,1,Twitter for iPhone,1480,816,42,,22/08/2015,"London, England",Caroline 💋 • Beauty & Cat Obsessed Blogger • iridescentplaces@gmail.com ✉️,http://www.iridescentplaces.com,,View
31/01/2020 10:02,@FloWalla,Flo Walla,I ordered sth from @Bershka and then returned some stuff. one of the shirts I returned is still listed on the receipt. After I tried to contact them they said they can‘t do anything about it because it doesn‘t show up as returned in their system. Very poor customer service!,1223169665993789440,,,,0,0,Twitter for iPhone,6,61,0,,25/10/2018,"Stuttgart, Germany",,,,View
31/01/2020 10:00,@thefashionisto,The Fashionisto,#RichardBiedul Takes to Florence with #MassimoDutti @RichardBiedul @massimodutti,1223169131530346496,https://thefash.co/Ay6f88,https://pbs.twimg.com/media/EPmR15BWsAENCpI.jpg,,1,3,SmarterQueue,44064,1084,1019,,05/07/2008,"New York, New York","The latest in fashion, entertainment, style and culture.",http://thefashionisto.com,,View
31/01/2020 09:40,@JTM91977,Jeanet,"Dear @ZARA, do you also dispose of your items that are returned after purchase or do you sell them again?",1223164232277032960,,,,0,0,Twitter Web App,85,426,0,,13/06/2009,,💜Prince / 👩🏼‍🎓/ Auntie J to the cutest nephew / human to Zola 🐱and Zannalee 🐱,,,View
31/01/2020 07:30,@LesegoLepota,LSGbabe,Nothing beats a simple look on a Friday Tshirt and jeans from @ZARA Sneakers from @Jumpman23 #FridayFeeling #simple #mood,1223131540328194049,,https://pbs.twimg.com/media/EPlvpVEWAAAwmj-.jpg,,1,1,Twitter for iPhone,14,47,0,,10/12/2019,South Africa,Team lioness,http://www.lesegolepota.pureromance.co.za,,View
31/01/2020 06:33,@nishnix49,nishnix49,"No @ZARA how can this be? Box dekho,bottle dekho.",1223117105274339328,,https://pbs.twimg.com/media/EPligIJU4AEGXgL.jpg,,0,0,Twitter for Android,108,295,0,,16/08/2019,Saffronistan,"If you think you can question everything,then you should also be questioned.",,,View
31/01/2020 05:39,@itsmaria_paula,paula🥞,guys! follow my outfit Instagram! I’m having a giveaway for reaching 1K followers ❤️❤️ enter for your chance to win a @ZARA gift card and store credit to an Miami based online boutique 🥰,1223103402667696131,http://instagram.com/paulascloset,https://pbs.twimg.com/media/EPlWDaKU8AA3_OT.jpg,,0,2,Twitter for iPhone,1464,534,23,,17/02/2012,fl,“nice to see you again” -nick jonas,https://instagram.com/paulascloset,,View
31/01/2020 04:33,@onemorejosh,𝐘𝐨𝐮 𝐜𝐚𝐧 𝐜𝐚𝐥𝐥 𝐦𝐞 𝕵𝖔𝖘𝖍𝖚𝖆,"Definitely don't order form @ZARA We spent $260 and numerous horrible phone calls with @ZARA_Care with no resolution. 18 put of 25 didn't show up, we returned a few but those returns weren't processed. We have 2 shirts. Their entire business model appears to be fraud based.",1223086853328261123,,,,1,0,Twitter for Android,1524,1489,227,,10/04/2009,"Bellingham, USA he/him","Father, Engineer, and Oxford Comma user. 🌹 One-time award-winning Meadmaker. 🍷 Header: https://showyourstripes.info/",https://joshuadnelson.com,,View
31/01/2020 03:48,@yankesyestrada,Yankesy Estrada,"Sucking too hard on your lollipop, Or love's gonna get you down... Shirt: @BananaRepublic Jacket: @ZARA",1223075596349124610,,https://pbs.twimg.com/media/EPk8wjGW4AQi9qP.jpg,,1,12,Twitter for iPhone,1286,99,4,,17/01/2012,México,Actor... Indeciso sin remedio. Actualmente Larry Porter en @RosarioTVA por @netflixlat Instagram @yankesyestrada,,,View
