,"Twitter Query: lang:en -filter:retweets -filter:replies from:inditexcreers OR from:Bershka, OR from:bershka_japan, OR from:Bershka_ES OR from:leftiesofficial OR from:massimodutti OR from:oysho OR from:pullandbear OR from:stradivarius OR from:uterqueOfficial OR from:ZARA, OR from:ZARA_Care OR from:zarahome",,,,,,,,,,,,,,,,,,,
31/01/2020 13:35,@zarahome,Zara Home,NEW COLLECTION SS20 | ⁣Textiles and accessories for the kitchen. Discover our new #Spring #Summer Collection. Now ⁣available at  / Photography: @romainlaprade,1223223174160166912,http://zhme.cm/NewC_ss20-tw,https://pbs.twimg.com/media/EPnC_adXsAU8nM1.jpg,,3,10,Le Guide Noir API connect,83238,75,673,,10/03/2010,Worldwide,ZARA HOME Official Account. House Rules: http://zhme.cm/HRulesTw,http://zhme.cm/home-tw,,View
31/01/2020 13:05,@Bershka,Bershka,Who wants to see Sailor Moon at Bershka? 💕🤪🌙,1223215842554470400,,pic.twitter.com/E8LBY5lXYX,,17,115,Twitter Web App,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
31/01/2020 10:57,@massimodutti,Massimo Dutti,"Memories of a Journey | Give in to unexpected touches of sophistication with this collection that brings romantic blouses, new denim fits and earthy suede up and front.",1223183613379911680,http://mdutti.me/memoriesofajourney-gb,https://pbs.twimg.com/media/EPmfAdnX4AEAmtu.jpg,,1,2,Twitter Web App,80526,204,577,✅,12/03/2009,Spain,"An urban, sophisticated and effortless collection of style.",http://www.massimodutti.com,,View
31/01/2020 09:00,@ZARA,ZARA,Create a dramatic effect with contemporary ruffles,1223154041506672645,https://go.zara/poplintop-t,https://pbs.twimg.com/media/EPmEHPhWsAITNP9.jpg,,2,35,Salesforce - Social Studio,1336245,69,3702,✅,01/08/2011,,For Customer Support please refer to @ZARA_Care,http://www.zara.com,,View
30/01/2020 21:02,@pullandbear,Pull&Bear,Attitude is key ✨ #newin #pullandbear,1222973278177972229,http://pullandbear.site/attitudekey,https://pbs.twimg.com/media/EPjftqsXkA0avHp.jpg,,0,17,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
30/01/2020 17:07,@Bershka,Bershka,The new emoji describes perfectly this January😂 #ThursdayThoughts,1222914239368699904,,https://pbs.twimg.com/media/EPiqBDxWkAElCZk.jpg,,23,99,Twitter Web App,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
30/01/2020 09:45,@UterqueOfficial,Uterqüe,Bring your own flowers A collection full of unique pieces:  #Uterque #UterqueSquad #SS20,1222802920971829248,http://uterque.site/Uterque,https://pbs.twimg.com/media/EPhExkzX0AAwQx5.jpg,,0,1,Le Guide Noir API connect,19092,99,173,,03/03/2010,Global,"Uterqüe sells accessories, fashion extras and a chosen selection of top-quality fabric and leather garments.",http://www.uterque.com,,View
29/01/2020 23:30,@Bershka,Bershka,Socks don't come much cooler than this ❤️,1222648125040549889,,https://pbs.twimg.com/media/EPe3_NFWkAAY-bT.jpg,,9,127,Clarabridge Engage,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
29/01/2020 19:00,@ZARA,ZARA,New Disney Stories Collection. Dress featuring a print with original files from the Disney film Bambi,1222580215492247553,https://go.zara/disneydress-t,https://pbs.twimg.com/media/EPd6OG1XUAAFCLD.jpg,,14,79,Salesforce - Social Studio,1336245,69,3702,✅,01/08/2011,,For Customer Support please refer to @ZARA_Care,http://www.zara.com,,View
29/01/2020 15:32,@pullandbear,Pull&Bear,"This is our new dimension, this is our new code. Dive into our new project #pullandbearsounds with these highlights from the last night 🎲🎱🙏🏻 #pullandbear",1222527831659438080,,pic.twitter.com/WZaeX0Z6e1,,1,38,Twitter Web App,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
29/01/2020 15:00,@ZARA,ZARA,New Disney Stories Collection. T-shirt featuring a print with original files from the Disney film Peter Pan,1222519852470022149,https://go.zara/disneytshirt-t,https://pbs.twimg.com/media/EPdDUX3XsAEOAwc.jpg,,8,46,Salesforce - Social Studio,1336245,69,3702,✅,01/08/2011,,For Customer Support please refer to @ZARA_Care,http://www.zara.com,,View
29/01/2020 14:00,@pullandbear,Pull&Bear,"Wearing this look, all we can do is smile... 🙂 #newin #pullandbear",1222504780767080449,http://pullandbear.site/smileythunder,https://pbs.twimg.com/media/EPc1niMWAAEyBK-.jpg,,1,19,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
29/01/2020 14:00,@zarahome,Zara Home,NEW COLLECTION SS20 | ⁣Set the table with this multicolored tablecloth. Discover our new #dining ⁣collection now available at  / Photography: @romainlaprade,1222504771757715456,http://zhme.cm/NewC_ss20-tw,https://pbs.twimg.com/media/EPc1mx5W4AEHjaR.jpg,,2,6,Le Guide Noir API connect,83238,75,673,,10/03/2010,Worldwide,ZARA HOME Official Account. House Rules: http://zhme.cm/HRulesTw,http://zhme.cm/home-tw,,View
29/01/2020 09:43,@UterqueOfficial,Uterqüe,Bring your own flowers A collection full of unique pieces:  #Uterque #UterqueSquad #SS20,1222440020864372736,http://uterque.site/Uterque,https://pbs.twimg.com/media/EPb6t_CXUAE6MgI.jpg,,0,3,Le Guide Noir API connect,19092,99,173,,03/03/2010,Global,"Uterqüe sells accessories, fashion extras and a chosen selection of top-quality fabric and leather garments.",http://www.uterque.com,,View
29/01/2020 09:31,@ZARA,ZARA,Discover our new Disney Stories Collection featuring prints with original files from Disney films,1222437133954244609,https://go.zara/disneysweatshirt-t,https://pbs.twimg.com/media/EPb4FzgWsAks_5S.jpg,,7,76,Salesforce - Social Studio,1336245,69,3702,✅,01/08/2011,,For Customer Support please refer to @ZARA_Care,http://www.zara.com,,View
28/01/2020 23:30,@Bershka,Bershka,🌼🌺 Every closet needs this kinda jeans 🌸🌻,1222285741126029319,,https://pbs.twimg.com/media/EPZuZsCX0AASSsv.jpg,,8,145,Clarabridge Engage,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
28/01/2020 17:29,@UterqueOfficial,Uterqüe,Bring your own flowers A collection full of unique pieces:  #Uterque #UterqueSquad #SS20,1222194903486214144,http://uterque.site/Uterque,https://pbs.twimg.com/media/EPYbyNaXkAAGlvO.jpg,,0,0,Le Guide Noir API connect,19092,99,173,,03/03/2010,Global,"Uterqüe sells accessories, fashion extras and a chosen selection of top-quality fabric and leather garments.",http://www.uterque.com,,View
28/01/2020 12:43,@Bershka,Bershka,Feels like January the 278th😂 #TuesdayThoughts,1222123038403186693,,,,19,54,Twitter Web App,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
27/01/2020 16:00,@zarahome,Zara Home,NEW COLLECTION SS20 | Table accessories that make into decoration elements. Discover our new #dining collection now available at  / Photography: @romainlaprade,1221810136072761344,http://zhme.cm/NewC_ss20-tw,https://pbs.twimg.com/media/EPS91szWoAEpjoC.jpg,,1,9,Le Guide Noir API connect,83238,75,673,,10/03/2010,Worldwide,ZARA HOME Official Account. House Rules: http://zhme.cm/HRulesTw,http://zhme.cm/home-tw,,View
27/01/2020 09:42,@massimodutti,Massimo Dutti,"A FRESH START | A palette of earthy colors, ochre, khaki and neutral hues, inspired by nature for versatile urban garments. Discover the new Boys & Girls collection in stores and at .",1221715074638925824,"http://massimodutti.com
http://mdutti.me/afreshstart-gb",https://pbs.twimg.com/media/EPRnYZCWsAACRhx.jpg,,0,2,Twitter Web App,80526,204,577,✅,12/03/2009,Spain,"An urban, sophisticated and effortless collection of style.",http://www.massimodutti.com,,View
27/01/2020 09:35,@UterqueOfficial,Uterqüe,Bring your own flowers A collection full of unique pieces:  #Uterque #UterqueSquad #SS20,1221713246660583429,http://uterque.site/Uterque,https://pbs.twimg.com/media/EPRluNMW4AAzG2Z.jpg,,0,0,Le Guide Noir API connect,19092,99,173,,03/03/2010,Global,"Uterqüe sells accessories, fashion extras and a chosen selection of top-quality fabric and leather garments.",http://www.uterque.com,,View
26/01/2020 23:30,@Bershka,Bershka,"It's time time again, now in white 💓",1221560963620638721,,https://pbs.twimg.com/media/EPPbOHFWoAssZgC.jpg,,9,116,Clarabridge Engage,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
26/01/2020 21:00,@pullandbear,Pull&Bear,Dark and moody is an eternal look 🖤 #newin #pullandbear,1221523347336335361,http://pullandbear.site/mood8752,https://pbs.twimg.com/media/EPO5AjgUUAE0CxO.jpg,,2,19,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
26/01/2020 17:00,@zarahome,Zara Home,NEW COLLECTION SS20 | Check our new small household appliances. Discover our new #kitchen collection now available at  / Photography: @romainlaprade,1221462879334998018,http://zhme.cm/NewC_ss20-tw,https://pbs.twimg.com/media/EPOCAy2WkAEITdD.jpg,,3,9,Le Guide Noir API connect,83238,75,673,,10/03/2010,Worldwide,ZARA HOME Official Account. House Rules: http://zhme.cm/HRulesTw,http://zhme.cm/home-tw,,View
26/01/2020 15:00,@Bershka,Bershka,🔥 Straight fire looks from all the angles,1221432617700032512,,https://pbs.twimg.com/media/EPNmfcaXUAE4LrY.jpg,,6,50,Clarabridge Engage,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
26/01/2020 14:30,@Bershka_ES,Bershka_ES,ROOOOAR 🐅🌴🐅,1221425068124835848,,https://pbs.twimg.com/media/EPNfoDeX0AE4QEr.jpg,,1,17,Clarabridge Engage,12150,23,58,✅,24/02/2016,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 🛍️ http://bers.hk/Bershka,http://bers.hk/TW,,View
26/01/2020 14:28,@pullandbear,Pull&Bear,Color map vibes to heat up your sunday 🔥 #newin #pullandbear,1221424566393765888,http://pullandbear.site/colormaptw,https://pbs.twimg.com/media/EPNfKykWkAAWdBc.jpg,,1,22,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
26/01/2020 10:54,@UterqueOfficial,Uterqüe,Bring your own flowers A collection full of unique pieces:  #Uterque #UterqueSquad #SS20,1221370722771181569,http://uterque.site/Uterque,https://pbs.twimg.com/media/EPMuMq1WsAAi0D8.jpg,,0,1,Le Guide Noir API connect,19092,99,173,,03/03/2010,Global,"Uterqüe sells accessories, fashion extras and a chosen selection of top-quality fabric and leather garments.",http://www.uterque.com,,View
25/01/2020 23:30,@Bershka,Bershka,"#PinkPanther To Do List: To do, to do, to do, to do, to do,to doooo 😂🎶",1221198575696261120,,https://pbs.twimg.com/media/EPKRoRvUUAAj1wo.jpg,,6,107,Clarabridge Engage,451866,170,1118,✅,07/08/2009,,😎 CREATIVITY. SELF-EXPRESSION. STYLE 📲Shop at http://bers.hk/Bershka,http://bers.hk/TW,,View
25/01/2020 21:24,@pullandbear,Pull&Bear,We’ve got three words for you: denim varsity jacket 💙 #newin #denim,1221166877583511552,http://pullandbear.site/denimjacket5243,https://pbs.twimg.com/media/EPJ0zUxXsAIJn1d.jpg,,2,21,Le Guide Noir API connect,376130,1864,1014,✅,02/07/2009,985 stores worldwide & online,Join us using #pullandbearcommunity and get all the new goodies at http://pullandbear.site/pullandbeartw Need help? ➡contact@pullandbear.com,http://WWW.PULLANDBEAR.COM/,,View
